Koch_group1	Koch_group2	Koch_group3	Koch_group4	Koch_group5
PTK7	IFITM1	ENG	GPC4	FGFBP3
RAB8B	INPP4A	EPAS1	GPM6A	FGFR2
RASSF9	ISM1	EPB4.2	GPRC5B	FHDC1
RBM24	ITGA5	EPOR	GRAMD4	FHOD3
RETSAT	JAM2	ERMAP	GRHL3	FRAS1
RFTN1	JUNB	ESAM	GYLTL1B	FREM1
RHBG	KALRN	EYA1	H2-D1	FRMD5
RIPK4	KDELR3	FAM110B	H2-Q4	FZD9
RIPPLY2	KLHDC8B	FAM132A	H2-Q6	GABRB3
RPS6KA5	KRBA1	FAM210B	H2-Q7	GADD45A
RSPO3	KSR1	FAM46C	HIST3H2A	GALNT16
S100A16	LAMA1	FBN2	HMGCLL1	GAS7
SAT2	LAMB1	FBXO6	HMOX1	GATM
SBSN	LEF1	FECH	HOOK1	GBX2
SCARA5	LFNG	FENDRR	HOXC4	GCAT
SEPT5	LIFR	FEZ2	IGFBPL1	GDF10
SERHL	LMO1	FGF10	IGSF21	GDPD1
SGK1	LMO2	FGF13	INHA	GFRA3
SGTB	LRRC20	FKBP7	JAKMIP2	GGCT
SH3GL3	LYPD2	FLI1	JARID2	GGH
SLC2A6	LYSMD2	FLT1	KCNC3	GKAP1
SLC39A11	MAGED2	FLT4	KCNIP2	GLI1
SLCO2B1	MAGI1	FOXF1	KCNK1	GLI2
SLIT3	MAML2	FOXH1	KIF21A	GLIPR1
SNHG9	MBNL2	FOXO1	KLC4	GLT1D1
SP4	MDFI	FOXP4	KLF9	GM14326
SP5	MED12L	FXYD5	KREMEN1	GM2694
SPRY4	MEOX1	GADD45G	LAD1	GM4432
ST14	MESP1	GATA1	LAMA5	GM5795
ST6GALNAC6	MFAP4	GATA3	LBH	GM6525
SULF1	MGP	GATA6	LHPP	GM715
T	MICALL2	GFI1B	LIX1	GPR153
TCP11L1	MMP2	GFPT2	LPIN1	GPRC5A
THEM4	MOAP1	GM10677	LRBA	GRIK5
TLN2	MOB3A	GM14327	LRCH1	GTF3A
TMEM151B	MOCS1	GM5176	LRRC51	H2-K1
TMEM176A	MPZL2	GM5577	LRRN3	H2-KE6
TMPRSS2	MSX2	GM9776	LYPD6B	HES3
TPCN2	MYL2	GMPR	MANEAL	HEXB
TRF	MYLIP	GNG11	MAP2	HIST1H2AG
TRIM25	NFATC1	GNG13	MAP7D2	HIST1H2AH
TRIM36	NFATC4	GPR116	MAPK11	HIST1H2BF
TRIM9	NFKBIA	GPR124	MARC2	HIST1H4A
UAP1L1	NGFR	GPT	MARK1	HIST1H4B
WNT3A	NKD2	GRAP	MATN3	HIST1H4F
ZFP119A	NMB	GREM1	MFSD2A	HIST2H4
ZFP28	NOTCH1	GRK4	MGAM	HIST3H2BA
ZFP558	NPR2	GYPA	MGST1	HIST3H2BB-PS
ZFP677	NRARP	GYPC	MLLT6	HIST4H4
ZFP810	NTF3	H19	MNX1	HNF1B
ZIC3	NTN1	HAND1	MPP3	HPCAL1
	OTX1	HAND2	MSMO1	HSD11B2
	PALM3	HAPLN1	MTMR7	HSDL1
	PAPPA	HBA-A1	MYCL	HSPA4L
	PCDH19	HBA-A2	MYO5B	ICA1
	PCDH8	HBA-X	NABP1	ID2
	PCDHGB7	HBB-B2	NAV2	IFNGR2
	PCOLCE2	HBB-BH1	NDRG2	IGFBP2
	PCTP	HBB-BS	NDRG4	IGFBP5
	PDE4A	HBB-Y	NFKBIZ	IGSF9B
	PDE4B	HDAC8	NIPSNAP1	INAFM2
	PDGFC	HEBP1	NKX1-2	IRX1
	PDGFRA	HEMGN	NOTUM	IRX2
	PDGFRB	HEY1	NRXN2	IRX3
	PDLIM4	HHEX	NSG2	IRX5
	PDLIM5	HMBS	OAT	ITGA6
	PDZRN3	HOXD13	PARD6B	JMJD7-PLA2G4B
	PELI3	HS3ST3A1	PAX2	JPH4
	PGLYRP3	HS3ST3B1	PAX3	KCNAB3
	PHLDA1	HSD3B6	PCP4L1	KCNE1L
	PHLDB2	ICAM2	PENK	KCNG1
	PIK3C2B	IFITM3	PGAP1	KIF1A
	PITPNM1	IGF2	PGBD1	KLF3
	PLXNA2	IGF2OS	PHF21B	KLHL8
	PTH1R	IGF2R	PHOX2A	LCAT
	PTP4A3	IGFBP4	PIGYL	LENEP
	PTPRM	IKZF1	PKIA	LETM2
	PTPRN	IL10RB	PLA2G3	LGI2
	QSOX1	INF2	PLA2G7	LMLN
	RAB15	ISL1	PLCXD1	LONRF2
	RALB	ITGA3	PLEKHA2	LRP2
	RBMS3	JDP2	PLEKHA7	LRRC4
	RECK	JOSD2	PLTP	LRRC8B
	REL	KCNJ15	POLR3GL	LRRC8C
	RFTN2	KDR	POU5F1	LRRC8D
	RHOG	KEL	PPP1R26	MAFB
	RMDN1	KLF1	PRKCZ	MAP1B
	RNF43	KLHL34	PRSS8	MAP3K9
	S1PR3	KRT18	PSEN2	MAPK12
	S1PR5	KRT8	PTCH2	MARCH9
	SAMD4	LCP1	PTPN6	MBP
	SCARA3	LHFP	PYCR1	METTL18
	SCT	LHX5	RAB10OS	METTL21E
	SDC3	LSP1	RAB11FIP4	MID1IP1
	SDK2	LYL1	REEP2	MKRN1
	SEMA3C	MAGEL2	RIC3	MORC4
	SEMA3F	MAN1A	RIMS2	MTMR11
	SEMA4G	MBD2	RNF39	MUC1
	SEMA6D	MBNL1	RTKN2	N4BP3
	SEPT8	MCAM	RUSC1	NAT8L
	SH2B3	MECOM	SALL3	NCAM1
	SH3BP1	MEIS1	SAMD10	NDUFS5
	SH3D19	MEIS2	SEMA4D	NELL2
	SH3PXD2A	MESP2	SEMA6A	NEXN
	SHISA3	MEST	SERGEF	NIN
	SHISA5	MFAP3L	SH3BGR	NINJ1
	SIX1	MFSD2B	SHB	NKX2-9
	SMARCD3	MGST3	SLAIN1	NLGN3
	SMC6	MIR703	SLC12A9	NOG
	SMOC1	MMP9	SLC16A2	NOVA1
	SMPDL3A	MPPED2	SLC17A5	NPDC1
	SMTN	MPV17L2	SLC1A3	NRBP2
	SNAI1	MRAP	SLC25A30	NRCAM
	SORBS1	MT1	SLC27A1	NRP2
	SORD	MT2	SLCO5A1	NUAK2
	SOX6	MYL1	SMIM3	NUDT12
	SPATA24	MYO1C	SMOC2	NUP210
	SPEG	MYRF	SMTNL2	OCIAD2
	SPOCK2	MYZAP	SMUG1	OLIG3
	SPSB1	NAGK	SNHG10	OMD
	SRXN1	NDNF	SNHG11	OVGP1
	SSC5D	NFE2	SNPH	PARD3B
	ST3GAL1	NFIC	SP8	PARD6A
	ST6GALNAC3	NHSL2	SPINT1	PAX6
	ST6GALNAC4	NID1	SPINT2	PCBD1
	STAT5B	NKAPL	SPOCK3	PCDH1
	SV2B	NOL4L	SPRED3	PCGF5
	SYNM	NOTO	STARD5	PCSK9
	TAX1BP3	NR2F2	STC1	PDGFA
	TBX6	NRP1	STC2	PDXK
	TCEAL6	NUDT22	STEAP2	PDZK1
	TCF15	OAZ1-PS	STK38L	PERP
	TCIRG1	OSR1	STMN2	PHYHIPL
	TEAD3	PARVB	STRA6L	PIK3CB
